Nama Kabupaten;Nama Kecamatan;Nama Desa;Tahun;Bulan;Satuan;Nilai / Jumlah
Kab. Kotawaringin Barat;-;-;2022;-;Jiwa per Kilometer Persegi;29,58
Kab. Kotawaringin Timur;-;-;2022;-;Jiwa per Kilometer Persegi;27,64
Kab. Kapuas;-;-;2022;-;Jiwa per Kilometer Persegi;24,2
Kab. Barito Selatan;-;-;2022;-;Jiwa per Kilometer Persegi;21,37
Kab. Barito Utara;-;-;2022;-;Jiwa per Kilometer Persegi;15,81
Kab. Katingan;-;-;2022;-;Jiwa per Kilometer Persegi;8,47
Kab. Seruyan;-;-;2022;-;Jiwa per Kilometer Persegi;9,98
Kab. Sukamara;-;-;2022;-;Jiwa per Kilometer Persegi;18,94
Kab. Lamandau;-;-;2022;-;Jiwa per Kilometer Persegi;14,03
Kab. Gunung Mas;-;-;2022;-;Jiwa per Kilometer Persegi;14,1
Kab. Pulang Pisau;-;-;2022;-;Jiwa per Kilometer Persegi;14,3
Kab. Murung Raya;-;-;2022;-;Jiwa per Kilometer Persegi;4,84
Kab. Barito Timur;-;-;2022;-;Jiwa per Kilometer Persegi;35,86
Kota Palangkaraya;-;-;2022;-;Jiwa per Kilometer Persegi;105,3
;;;;;;
;;;;;;
;;;;;;
